日期,租借量,平均气温_C,降雨量_mm,节假日,周末,大型活动,车辆供给指数,系统异常标记
2022-3-31,2476,17.2,0,0,0,0,1,0
2022-4-1,2449,16,0.6,0,0,0,1,0
2022-4-2,2257,20.4,0,0,1,0,1,0
2022-4-3,2302,22.8,0,0,1,0,1,0
2022-4-4,2624,20.5,0,0,0,0,1,0
2022-4-5,2634,23.8,0,0,0,0,1,0
2022-4-6,2886,18.3,0,0,0,0,1,0
2022-4-7,2992,18.4,0,0,0,0,1,0
2022-4-8,2778,25,0,0,0,0,1,0
2022-4-9,2393,20.9,0,0,1,0,1,0
2022-4-10,2131,18.2,0,0,1,0,1,0
2022-4-11,1848,19,11.4,0,0,0,1,0
2022-4-12,2486,23.3,0,0,0,0,1,0
2022-4-13,2643,22.5,0,0,0,0,1,0
2022-4-14,2503,25.7,0,0,0,0,1,0
2022-4-15,2682,18.3,0,0,0,0,1,0
2022-4-16,2242,19.4,0,0,1,0,1,0
2022-4-17,1798,17,7.3,0,1,0,1,0
2022-4-18,2554,24,0,0,0,0,1,0
2022-4-19,2730,21.7,0,0,0,0,1,0
2022-4-20,2665,20.8,0,0,0,0,1,0
2022-4-21,2854,23.8,0,0,0,0,1,0
2022-4-22,2834,20.4,0,0,0,0,1,0
2022-4-23,2122,23.1,4.5,0,1,0,1,0
2022-4-24,2104,25,3.3,0,1,0,1,0
2022-4-25,2692,23.5,0,0,0,0,1,0
2022-4-26,2705,22.3,1.8,0,0,0,1,0
2022-4-27,2805,23.2,0,0,0,0,1,0
2022-4-28,2617,27.7,0,0,0,0,1,0
2022-4-29,2420,26.1,4.8,0,0,0,1,0
2022-4-30,2554,25.5,0,0,1,0,1,0
2022-5-1,1933,23.5,0,1,1,0,1,0
2022-5-2,2205,22.4,0,1,0,0,1,0
2022-5-3,2031,22.6,0,1,0,0,1,0
2022-5-4,1593,28.2,7,1,0,0,1,0
2022-5-5,2335,23,0,1,0,0,1,0
2022-5-6,2792,25.1,0,0,0,0,1,0
2022-5-7,2507,26.4,0,0,1,0,1,0
2022-5-8,2335,24.7,0,0,1,0,1,0
2022-5-9,2760,23.7,0,0,0,0,1,0
2022-5-10,2862,24,0,0,0,0,1,0
2022-5-11,2262,25.6,5.3,0,0,0,1,0
2022-5-12,2122,33.6,0.2,0,0,0,1,0
2022-5-13,2623,25.5,0,0,0,0,1,0
2022-5-14,2389,27.5,0,0,1,0,1,0
2022-5-15,2196,27.2,0,0,1,0,1,0
2022-5-16,2581,22.5,0,0,0,0,1,0
2022-5-17,2571,25.4,0,0,0,0,1,0
2022-5-18,1985,27.1,6.4,0,0,0,1,0
2022-5-19,2348,28.5,0,0,0,0,1,0
2022-5-20,2546,26.2,0,0,0,0,1,0
2022-5-21,2093,27.5,0,0,1,0,1,0
2022-5-22,1189,34,2.3,0,1,0,1,0
2022-5-23,2108,26.5,0,0,0,0,1,0
2022-5-24,2338,27.4,0,0,0,0,1,0
2022-5-25,2623,26.9,0,0,0,0,1,0
2022-5-26,2479,25.5,0,0,0,0,1,0
2022-5-27,2294,23.6,4.5,0,0,0,1,0
2022-5-28,2128,30.4,0,0,1,0,1,0
2022-5-29,737,33.6,12,0,1,0,1,0
2022-5-30,2345,27.6,0,0,0,0,1,0
2022-5-31,2504,26.4,1,0,0,0,1,0
2022-6-1,1586,28.2,18.5,0,0,0,1,0
2022-6-2,2318,27.1,2.1,0,0,0,1,0
2022-6-3,2216,29.3,4.8,0,0,0,1,0
2022-6-4,2120,,0,0,1,0,1,0
2022-6-5,1934,25.7,0,0,1,0,1,0
2022-6-6,1747,22.7,14.3,0,0,0,1,0
2022-6-7,1575,24.9,19.8,0,0,0,1,0
2022-6-8,2586,25.5,0,0,0,0,1,0
2022-6-9,1362,34.5,14.5,0,0,0,1,0
2022-6-10,2773,26.7,0,0,0,0,1,0
2022-6-11,2368,24.8,0,0,1,0,1,0
2022-6-12,2371,24.4,0,0,1,0,1,0
2022-6-13,2190,30.1,0.2,0,0,0,1,0
2022-6-14,2203,31,0,0,0,0,1,0
2022-6-15,2263,29.1,0,0,0,0,1,0
2022-6-16,1831,30.8,12.2,0,0,0,1,0
2022-6-17,2464,32,0,0,0,0,1,0
2022-6-18,2209,34.2,0,0,1,1,1,0
2022-6-19,2270,27.1,0,0,1,0,1,0
2022-6-20,2337,28,1.9,0,0,0,1,0
2022-6-21,2215,33.2,0,0,0,0,1,0
2022-6-22,2401,27.5,4.7,0,0,0,1,0
2022-6-23,2500,25.7,0,0,0,0,1,0
2022-6-24,2382,30.8,0,0,0,0,1,0
2022-6-25,2056,29.8,0,0,1,0,1,0
2022-6-26,1866,31.8,0,0,1,0,1,0
2022-6-27,1657,28.1,13.2,0,0,0,1,0
2022-6-28,2007,31.2,0,0,0,0,1,0
2022-6-29,1774,31.7,6.3,0,0,0,1,0
2022-6-30,2327,26.1,2,0,0,0,1,0
2022-7-1,2157,22.7,7.7,0,0,0,1,0
2022-7-2,2569,24.2,0,0,1,0,1,0
2022-7-3,1851,31.9,0,0,1,0,1,0
2022-7-4,2053,31.7,0,0,0,0,1,0
2022-7-5,2419,25.3,0,0,0,0,1,0
2022-7-6,2430,26.5,0,0,0,0,1,0
2022-7-7,2399,27.9,0,0,0,0,1,0
2022-7-8,2173,30.9,0,0,0,0,1,0
2022-7-9,1982,29.6,0,0,1,0,1,0
2022-7-10,1972,26.9,0,0,1,0,1,0
2022-7-11,2406,25.8,0,0,0,0,1,0
2022-7-12,2026,30.1,0,0,0,0,1,0
2022-7-13,2455,26.7,0,0,0,0,1,0
2022-7-14,2141,26.3,4.9,0,0,0,1,0
2022-7-15,2294,26.3,0,0,0,0,1,0
2022-7-16,1701,29.1,4,0,1,0,1,0
2022-7-17,1885,29,0,0,1,0,1,0
2022-7-18,2397,30.2,0,0,0,0,1,0
2022-7-19,2615,22,1.2,0,0,0,1,0
2022-7-20,2573,24.9,0,0,0,0,1,0
2022-7-21,2651,22.7,0,0,0,0,1,0
2022-7-22,2839,24.8,0,0,0,0,1,0
2022-7-23,2262,25.7,0,0,1,0,1,0
2022-7-24,2298,23,0,0,1,0,1,0
2022-7-25,2466,26.2,0,0,0,0,1,0
2022-7-26,2666,24.1,0.5,0,0,0,1,0
2022-7-27,2579,23.6,0,0,0,0,1,0
2022-7-28,2083,24,6.9,0,0,0,1,0
2022-7-29,2399,31,0,0,0,0,1,0
2022-7-30,2225,29.1,0,0,1,0,1,0
2022-7-31,1959,24.3,0,0,1,0,1,0
2022-8-1,2568,19.7,0,0,0,0,1,0
2022-8-2,2109,29,5,0,0,0,1,0
2022-8-3,1996,28.7,7.7,0,0,0,1,0
2022-8-4,2891,25.8,0,0,0,0,1,0
2022-8-5,2713,25.7,0,0,0,0,1,0
2022-8-6,2507,24.6,0,0,1,0,1,0
2022-8-7,2213,25.3,0,0,1,0,1,0
2022-8-8,1877,23.8,13.6,0,0,0,1,0
2022-8-9,2581,23.3,0,0,0,0,1,0
2022-8-10,2371,23,6,0,0,0,1,0
2022-8-11,2828,21.2,0,0,0,0,1,0
2022-8-12,2847,,0,0,0,0,1,0
2022-8-13,2221,28.7,2.2,0,1,0,1,0
2022-8-14,2231,20.7,0,0,1,0,1,0
2022-8-15,2069,27,5.8,0,0,0,1,0
2022-8-16,2433,22.5,1.9,0,0,0,1,0
2022-8-17,2519,21.2,0,0,0,0,1,0
2022-8-18,2376,28.6,0,0,0,0,1,0
2022-8-19,2275,24.8,3.3,0,0,0,1,0
2022-8-20,2331,22.8,0,0,1,0,1,0
2022-8-21,2174,19.9,0,0,1,0,1,0
2022-8-22,2370,23.2,0,0,0,0,1,0
2022-8-23,2431,21.5,2.6,0,0,0,1,0
2022-8-24,2483,22.4,2.1,0,0,0,1,0
2022-8-25,2933,23.4,0,0,0,0,1,0
2022-8-26,2566,25.3,0,0,0,0,1,0
2022-8-27,2281,20.7,0,0,1,0,1,0
2022-8-28,2187,22.7,0,0,1,0,1,0
2022-8-29,2367,20.2,1.2,0,0,0,1,0
2022-8-30,2429,15.5,0,0,0,0,1,0
2022-8-31,2521,23.8,0,0,0,0,1,0
2022-9-1,2556,18.8,0,0,0,0,1,0
2022-9-2,2770,23.8,0,0,0,0,1,0
2022-9-3,1983,17.7,5.6,0,1,0,1,0
2022-9-4,1921,22,3.9,0,1,0,1,0
2022-9-5,2323,16.2,0,0,0,0,1,0
2022-9-6,2374,18.7,0,0,0,0,1,0
2022-9-7,1720,15,8,0,0,0,1,0
2022-9-8,2519,21.6,0,0,0,0,1,0
2022-9-9,2141,18.1,8.5,0,0,0,1,0
2022-9-10,1977,16.9,0,0,1,0,1,0
2022-9-11,1819,15.2,0,0,1,0,1,0
2022-9-12,1918,15.4,0,0,0,0,1,0
2022-9-13,2082,18.4,0,0,0,0,1,0
2022-9-14,1834,16.9,8.2,0,0,0,1,0
2022-9-15,1980,21.3,4.2,0,0,0,1,0
2022-9-16,2329,18.7,,0,0,0,1,0
2022-9-17,2567,19.1,0,0,1,1,1,0
2022-9-18,1753,14.6,0,0,1,0,1,0
2022-9-19,2270,20.6,0,0,0,0,1,0
2022-9-20,2020,18,2.2,0,0,0,1,0
2022-9-21,2345,17.2,0,0,0,0,1,0
2022-9-22,2101,14.5,0,0,0,0,1,0
2022-9-23,1704,10,3.3,0,0,0,1,0
2022-9-24,2146,,0,0,1,0,1,0
2022-9-25,1787,15.5,0,0,1,0,1,0
2022-9-26,2175,20.3,0,0,0,0,1,0
2022-9-27,2052,13.4,0,0,0,0,1,0
2022-9-28,1173,12.3,16.5,0,0,0,1,0
2022-9-29,2575,18.3,0,0,0,0,1,0
2022-9-30,1957,13,0,0,0,0,1,0
2022-10-1,1357,14,0,1,1,0,1,0
2022-10-2,596,11,4,1,1,0,1,0
2022-10-3,740,16.1,15.6,1,0,0,1,0
2022-10-4,1202,10.7,1.8,1,0,0,1,0
2022-10-5,1615,13.6,0,1,0,0,1,0
2022-10-6,1435,12.3,0,1,0,0,1,0
2022-10-7,939,11.1,3.7,1,0,0,1,0
2022-10-8,697,8.5,6.4,0,1,0,1,0
2022-10-9,1223,10.9,,0,1,0,1,0
2022-10-10,1734,12.5,0,0,0,0,1,0
2022-10-11,1803,,0,0,0,0,1,0
2022-10-12,2072,16.3,3.4,0,0,0,1,0
2022-10-13,1629,11.1,5.7,0,0,0,1,0
2022-10-14,1769,11.2,0,0,0,0,1,0
2022-10-15,1702,13.1,0,0,1,0,1,0
2022-10-16,1428,12.7,0,0,1,0,1,0
2022-10-17,1494,9,0,0,0,0,1,0
2022-10-18,1744,14.7,1.9,0,0,0,1,0
2022-10-19,1448,9.7,0,0,0,0,1,0
2022-10-20,1788,12.4,2.7,0,0,0,1,0
2022-10-21,1355,8.2,0,0,0,0,1,0
2022-10-22,1044,8.3,0,0,1,0,1,0
2022-10-23,1363,14.5,0,0,1,0,1,0
2022-10-24,856,7.9,1.6,0,0,0,1,0
2022-10-25,1816,15.4,0,0,0,0,1,0
2022-10-26,1440,10.8,0,0,0,0,1,0
2022-10-27,1723,13.1,0,0,0,0,1,0
2022-10-28,1196,7.5,0,0,0,0,1,0
2022-10-29,422,6.1,5.6,0,1,0,1,0
2022-10-30,1085,9.7,0,0,1,0,1,0
2022-10-31,1488,11.4,0,0,0,0,1,0
2022-11-1,975,7.8,0,0,0,0,1,0
2022-11-2,909,7.2,0,0,0,0,1,0
2022-11-3,668,8.5,7.8,0,0,0,1,0
2022-11-4,975,7.9,0,0,0,0,1,0
2022-11-5,1269,8.6,0,0,1,1,1,0
2022-11-6,767,6.5,0,0,1,0,1,0
2022-11-7,1782,14.1,0,0,0,0,1,0
2022-11-8,919,5.5,0,0,0,0,1,0
2022-11-9,1002,6.8,0,0,0,0,1,0
2022-11-10,983,7.4,0,0,0,0,1,0
2022-11-11,971,7.1,0,0,0,0,1,0
2022-11-12,350,2.7,0,0,1,0,1,0
2022-11-13,482,5.9,,0,1,0,1,0
2022-11-14,716,4.3,0,0,0,0,1,0
2022-11-15,854,4.9,0,0,0,0,1,0
2022-11-16,765,5.5,0,0,0,0,1,0
2022-11-17,844,6.5,0,0,0,0,1,0
2022-11-18,845,6,0,0,0,0,1,0
2022-11-19,730,9.7,0,0,1,0,1,0
2022-11-20,529,8.9,0,0,1,0,1,0
2022-11-21,350,4,0,0,0,0,1,0
2022-11-22,350,3.2,0,0,0,0,1,0
2022-11-23,1287,9.8,0,0,0,0,1,0
2022-11-24,739,5,0,0,0,0,1,0
2022-11-25,486,3.4,0,0,0,0,1,0
2022-11-26,1385,10.7,0,0,1,0,1,0
2022-11-27,600,7.1,0,0,1,0,1,0
2022-11-28,433,4.4,2.8,0,0,0,1,0
2022-11-29,350,0.3,0,0,0,0,1,0
2022-11-30,445,5.8,5.9,0,0,0,1,0
2022-12-1,350,-0.5,0,0,0,0,1,0
2022-12-2,539,3.4,3.4,0,0,0,1,0
2022-12-3,603,4.7,0,0,1,0,1,0
2022-12-4,350,6.4,9.3,0,1,0,1,0
2022-12-5,354,5,9.6,0,0,0,1,0
2022-12-6,372,2.7,0,0,0,0,1,0
2022-12-7,852,6.4,1.6,0,0,0,1,0
2022-12-8,538,3,0,0,0,0,1,0
2022-12-9,791,4.5,0,0,0,0,1,0
2022-12-10,815,5.7,0,0,1,0,1,0
2022-12-11,350,3.7,0,0,1,0,1,0
2022-12-12,350,0.6,0,0,0,0,1,0
2022-12-13,350,1.5,0,0,0,0,1,0
2022-12-14,773,4.1,0,0,0,0,1,0
2022-12-15,422,0.5,0,0,0,0,1,0
2022-12-16,350,1.3,0,0,0,0,1,0
2022-12-17,615,6,0,0,1,0,1,0
2022-12-18,350,10.9,13.3,0,1,0,1,0
2022-12-19,350,2.7,2.2,0,0,0,1,0
2022-12-20,350,-0.1,0,0,0,0,1,0
2022-12-21,646,3.4,0,0,0,0,1,0
2022-12-22,968,4.9,1.6,0,0,0,1,0
2022-12-23,559,3.5,0,0,0,0,1,0
2022-12-24,654,5.1,0,0,1,0,1,0
2022-12-25,465,6.4,0,0,1,0,1,0
2022-12-26,350,-0.7,0,0,0,0,1,0
2022-12-27,1032,8.1,0,0,0,0,1,0
2022-12-28,392,2.8,0.6,0,0,0,1,0
2022-12-29,736,5,0,0,0,0,1,0
2022-12-30,1093,6.9,0,0,0,0,1,0
2022-12-31,350,2.8,0,0,1,0,1,0
2023-1-1,397,8.3,0,1,1,0,1,0
2023-1-2,473,4.9,0,0,0,0,1,0
2023-1-3,636,7.5,5.7,0,0,0,1,0
2023-1-4,1006,7.2,0,0,0,0,1,0
2023-1-5,421,2.3,0,0,0,0,1,0
2023-1-6,819,4.3,0,0,0,0,1,0
2023-1-7,1046,8.5,0,0,1,0,1,0
2023-1-8,949,9.2,0,0,1,0,1,0
2023-1-9,958,7.9,0,0,0,0,1,0
2023-1-10,614,6.3,0,0,0,0,1,0
2023-1-11,629,5.6,0,0,0,0,1,0
2023-1-12,789,6.4,0,0,0,0,1,0
2023-1-13,962,4.1,0,0,0,0,1,0
2023-1-14,592,3.1,0,0,1,0,1,0
2023-1-15,582,3.7,0,0,1,0,1,0
2023-1-16,1189,6.8,0,0,0,0,1,0
2023-1-17,1246,8.6,0,0,0,0,1,0
2023-1-18,616,4.6,0,0,0,0,1,0
2023-1-19,350,2.9,0,0,0,0,1,0
2023-1-20,1036,5.6,0,0,0,0,1,0
2023-1-21,819,7.9,0,1,1,0,1,0
2023-1-22,449,7.4,0,1,1,0,1,0
2023-1-23,772,7.7,0,1,0,0,1,0
2023-1-24,646,6.5,2.9,1,0,0,1,0
2023-1-25,1216,8.7,0,1,0,0,1,0
2023-1-26,762,4.9,0,1,0,0,1,0
2023-1-27,839,4.2,0,1,0,0,1,0
2023-1-28,808,3.3,0,0,1,0,1,0
2023-1-29,1207,8,0,0,1,0,1,0
2023-1-30,1599,10,0,0,0,0,1,0
2023-1-31,1060,5.4,0,0,0,0,1,0
2023-2-1,1573,9.6,0,0,0,0,1,0
2023-2-2,1883,13.7,0,0,0,0,1,0
2023-2-3,1824,9.8,0,0,0,0,1,0
2023-2-4,1594,9.5,3.2,0,1,0,1,0
2023-2-5,796,7.7,7,0,1,0,1,0
2023-2-6,1464,8.7,0,0,0,0,1,0
2023-2-7,1968,11.9,0,0,0,0,1,0
2023-2-8,1638,10.2,0,0,0,0,1,0
2023-2-9,854,7.1,9.4,0,0,0,1,0
2023-2-10,1747,10.9,4.2,0,0,0,1,0
2023-2-11,1550,10.2,0,0,1,0,1,0
2023-2-12,1446,8.7,0,0,1,0,1,0
2023-2-13,1687,7.4,0,0,0,0,1,0
2023-2-14,1872,9.7,0,0,0,0,1,0
2023-2-15,1818,8.6,0,0,0,0,1,0
2023-2-16,1617,7,0,0,0,0,1,0
2023-2-17,2035,10.8,0,0,0,0,1,0
2023-2-18,1857,10.8,0,0,1,0,1,0
2023-2-19,1611,8.2,0,0,1,0,1,0
2023-2-20,2614,19,0,0,0,0,1,0
2023-2-21,2108,12.1,0,0,0,0,1,0
2023-2-22,2216,11.5,0,0,0,0,1,0
2023-2-23,1666,,0,0,0,0,1,0
2023-2-24,2130,12.3,0,0,0,0,1,0
2023-2-25,2151,14,0,0,1,0,1,0
2023-2-26,2274,15,0,0,1,0,1,0
2023-2-27,2147,11.2,0,0,0,0,1,0
2023-2-28,1943,13.6,6.5,0,0,0,1,0
2023-3-1,2124,11.5,0,0,0,0,1,0
2023-3-2,2295,,0,0,0,0,1,0
2023-3-3,2804,20,0,0,0,0,1,0
2023-3-4,2267,14.9,0,0,1,0,1,0
2023-3-5,1923,12.2,0,0,1,0,1,0
2023-3-6,2120,12.3,0,0,0,0,1,0
2023-3-7,1839,9.8,0,0,0,0,1,0
2023-3-8,2309,11.6,0,0,0,0,1,0
2023-3-9,2346,16.8,7.7,0,0,0,1,0
2023-3-10,2441,12.6,0,0,0,0,1,0
2023-3-11,2076,16,2.5,0,1,0,1,0
2023-3-12,1626,15.9,5.2,0,1,0,1,0
2023-3-13,2346,18.8,0,0,0,0,1,0
2023-3-14,2231,14.8,0,0,0,0,1,0
2023-3-15,1650,13.4,8.7,0,0,0,1,0
2023-3-16,2489,17.9,4.7,0,0,0,1,0
2023-3-17,2704,15.4,0,0,0,0,1,0
2023-3-18,2367,17.8,4.1,0,1,0,1,0
2023-3-19,1926,10.3,0,0,1,0,1,0
2023-3-20,2473,17.6,7.3,0,0,0,1,0
2023-3-21,2875,22,0,0,0,0,1,0
2023-3-22,2533,20.7,0,0,0,0,1,0
2023-3-23,2439,13.8,0,0,0,0,1,0
2023-3-24,2748,21.3,0,0,0,0,1,0
2023-3-25,2228,21.8,0,0,1,0,1,0
2023-3-26,1816,18.9,4.7,0,1,0,1,0
2023-3-27,2114,14.1,4,0,0,0,1,0
2023-3-28,2687,22.9,0,0,0,0,1,0
2023-3-29,2761,23.8,0,0,0,0,1,0
2023-3-30,2440,13.4,0,0,0,0,1,0
2023-3-31,2307,18.5,7.2,0,0,0,1,0
2023-4-1,2379,22.7,0,0,1,0,1,0
2023-4-2,2256,19.2,0,0,1,0,1,0
2023-4-3,2586,21.4,0,0,0,0,1,0
2023-4-4,2571,20.3,4.5,0,0,0,1,0
2023-4-5,2553,17.9,0,0,0,0,1,0
2023-4-6,2680,26.9,0,0,0,0,1,0
2023-4-7,2478,17,1.7,0,0,0,1,0
2023-4-8,2441,22.6,0,0,1,0,1,0
2023-4-9,2108,21.8,0,0,1,0,1,0
2023-4-10,2768,17.5,0,0,0,0,1,0
2023-4-11,2793,24.2,0,0,0,0,1,0
2023-4-12,2528,20.1,2.9,0,0,0,1,0
2023-4-13,2930,22.6,0,0,0,0,1,0
2023-4-14,2963,23.5,0,0,0,0,1,0
2023-4-15,2408,21.2,2.9,0,1,0,1,0
2023-4-16,2604,22.3,0,0,1,0,1,0
2023-4-17,2642,21.7,3.4,0,0,0,1,0
2023-4-18,2812,18.4,0,0,0,0,1,0
2023-4-19,2956,18.9,0,0,0,0,1,0
2023-4-20,2987,22.7,0,0,0,0,1,0
2023-4-21,3263,22.6,0,0,0,0,1,0
2023-4-22,3375,21.5,0,0,1,1,1,0
2023-4-23,2557,23,0,0,1,0,1,0
2023-4-24,2917,21.5,0,0,0,0,1,0
2023-4-25,2693,19.6,0,0,0,0,1,0
2023-4-26,2800,20.2,0,0,0,0,1,0
2023-4-27,2832,19.1,0,0,0,0,1,0
2023-4-28,2888,24.4,0,0,0,0,1,0
2023-4-29,2690,22.3,0,0,1,0,1,0
2023-4-30,2672,21.4,0,0,1,0,1,0
2023-5-1,2317,28.2,0,1,0,0,1,0
2023-5-2,2143,28.1,0,1,0,0,1,0
2023-5-3,2245,26.1,0,1,0,0,1,0
2023-5-4,2468,26.2,0,1,0,0,1,0
2023-5-5,2397,20.9,,1,0,0,1,0
2023-5-6,2567,23.2,0,0,1,0,1,0
2023-5-7,2082,27.6,4.2,0,1,0,1,0
2023-5-8,2751,21.8,0,0,0,0,1,0
2023-5-9,2302,24.7,9.7,0,0,0,1,0
2023-5-10,2806,25.7,0,0,0,0,1,0
2023-5-11,2605,27.2,1.5,0,0,0,1,0
2023-5-12,2918,23.2,0,0,0,0,1,0
2023-5-13,2668,24.7,0,0,1,0,1,0
2023-5-14,2493,25.7,0,0,1,0,1,0
2023-5-15,2391,25.5,8.3,0,0,0,1,0
2023-5-16,2001,,13.5,0,0,0,1,0
2023-5-17,2692,25.7,0,0,0,0,1,0
2023-5-18,2781,25.4,0,0,0,0,1,0
2023-5-19,2736,25.3,0,0,0,0,1,0
2023-5-20,2622,24.9,0,0,1,0,1,0
2023-5-21,2461,28.5,0,0,1,0,1,0
2023-5-22,2595,31,0,0,0,0,1,0
2023-5-23,2871,27.4,0,0,0,0,1,0
2023-5-24,2572,29.6,0,0,0,0,1,0
2023-5-25,2872,25.4,0,0,0,0,1,0
2023-5-26,2632,26.5,5.8,0,0,0,1,0
2023-5-27,2615,27.5,0,0,1,0,1,0
2023-5-28,2242,25.8,0,0,1,0,1,0
2023-5-29,2533,26.9,0,0,0,0,1,0
2023-5-30,1935,31,9.5,0,0,0,1,0
2023-5-31,2032,25.5,12.5,0,0,0,1,0
2023-6-1,2480,28.6,0,0,0,0,1,0
2023-6-2,2435,32.5,0,0,0,0,1,0
2023-6-3,1911,26.6,10.3,0,1,0,1,0
2023-6-4,2034,29.1,0,0,1,0,1,0
2023-6-5,2250,28.3,0,0,0,0,1,0
2023-6-6,2428,22.1,2.9,0,0,0,1,0
2023-6-7,2524,28.1,0,0,0,0,1,0
2023-6-8,2310,32.9,0,0,0,0,1,0
2023-6-9,2661,24.6,0,0,0,0,1,0
2023-6-10,1945,27.5,4,0,1,0,1,0
2023-6-11,1774,28.6,0,0,1,0,1,0
2023-6-12,2460,24.4,0,0,0,0,1,0
2023-6-13,2249,28,0,0,0,0,1,0
2023-6-14,2442,23.7,1.7,0,0,0,1,0
2023-6-15,2165,24.5,8.5,0,0,0,1,0
2023-6-16,1052,32.7,21.7,0,0,0,1,0
2023-6-17,2690,23.9,4,0,1,1,1,0
2023-6-18,2472,25.5,0,0,1,0,1,0
2023-6-19,2549,26.3,0,0,0,0,1,0
